Date,Open,High,Low,Close,Volume,Adj Close
2016-05-09,10.01,10.50,8.84,9.46,71997500,9.46
2016-05-02,10.25,10.36,9.58,10.08,49897600,10.08
2016-04-25,9.71,10.54,9.33,10.23,59023300,10.23
2016-04-18,9.65,9.93,8.89,9.75,52562500,9.75
2016-04-11,8.43,9.83,8.34,9.69,85497500,9.69
2016-04-04,8.00,8.34,7.41,8.26,69574100,8.26
2016-03-28,8.15,9.00,7.91,8.36,78690200,8.36
2016-03-21,8.08,8.27,7.32,7.81,52833600,7.81
2016-03-14,8.13,8.20,6.41,8.12,94401500,8.12
2016-03-07,7.25,8.22,6.95,8.09,103407200,8.09
2016-02-29,5.08,7.90,4.98,7.22,123268900,7.22
2016-02-22,4.67,5.28,4.63,4.87,74403500,4.87
2016-02-15,4.56,4.87,4.40,4.46,62873000,4.46
2016-02-08,4.54,4.54,4.12,4.45,33845200,4.45
2016-02-01,4.74,4.94,4.22,4.54,64797100,4.54
2016-01-25,4.41,5.13,4.12,4.84,75269200,4.84
2016-01-18,5.19,5.21,4.26,4.41,78776500,4.41
2016-01-11,6.27,6.30,5.13,5.17,71252300,5.17
2016-01-04,6.57,7.03,6.08,6.27,50480800,6.27
2015-12-28,6.90,6.90,6.52,6.70,16220100,6.70
2015-12-21,7.06,7.09,6.62,6.93,26657000,6.93
2015-12-14,7.15,7.52,6.92,7.02,42283600,7.02
2015-12-07,7.60,7.82,6.95,7.25,54059400,7.25
2015-11-30,7.54,8.17,7.35,7.52,59337300,7.52
2015-11-23,7.90,8.50,7.57,7.60,45036300,7.60
2015-11-16,7.31,8.03,7.31,7.84,39735300,7.84
2015-11-09,7.83,7.93,7.23,7.27,44826600,7.27
2015-11-02,7.71,8.65,7.71,7.82,49667700,7.82
2015-10-26,8.05,8.13,7.52,7.71,42825600,7.71
2015-10-19,7.90,8.28,7.71,7.99,45063800,7.99
2015-10-12,8.80,8.80,7.67,7.95,47169500,7.95
2015-10-05,7.90,9.07,7.75,8.80,81355000,8.80
2015-09-28,6.74,7.83,6.44,7.77,71164300,7.77
2015-09-21,7.66,7.68,6.60,6.82,54795900,6.82
2015-09-14,7.70,8.24,7.46,7.60,59110400,7.60
2015-09-07,8.51,8.90,7.59,7.66,36919000,7.66
2015-08-31,8.71,9.29,8.33,8.51,55498400,8.51
2015-08-24,7.76,9.39,7.53,9.00,62276600,9.00
2015-08-17,9.20,9.36,8.30,8.30,36767100,8.30
2015-08-10,9.81,10.03,9.30,9.30,38379200,9.30
2015-08-03,10.36,10.55,9.69,9.69,47755500,9.69
2015-07-27,9.96,10.93,9.51,10.50,58469100,10.50
2015-07-20,11.46,11.54,9.76,10.04,42336600,10.04
2015-07-13,11.87,12.08,11.39,11.40,31810400,11.40
2015-07-06,11.51,11.99,10.82,11.79,38824200,11.79
2015-06-29,13.00,13.59,11.68,11.73,44765000,11.73
2015-06-22,13.30,13.43,12.52,13.21,38510600,13.21
2015-06-15,12.97,13.59,12.90,13.17,36242200,13.17
